Geohash,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz9kbj,43.81348,-79.23752,43.81485,-79.23615,43.81422,-79.23702,Toronto,,Ontario,Canada,CA-ON,0.0601,48,2019-02-02,5.0
dpz2tg7,43.69949,-79.54788,43.70087,-79.54651,43.69965,-79.54772,Toronto,,Ontario,Canada,CA-ON,0.1912,37,2019-02-02,5.0
dpz2xf8,43.69537,-79.46411,43.69675,-79.46274,43.69635,-79.46314,Toronto,,Ontario,Canada,CA-ON,0.0085,3,2019-02-02,5.0
dpz2yt3,43.75443,-79.51767,43.7558,-79.5163,43.75493,-79.51698,Toronto,,Ontario,Canada,CA-ON,0.0094,3,2019-02-02,5.0
dpz2vud,43.75031,-79.54926,43.75168,-79.54788,43.75078,-79.54871,Toronto,,Ontario,Canada,CA-ON,0.0144,3,2019-02-02,5.0
dpz82j0,43.66516,-79.45313,43.66653,-79.45175,43.66549,-79.45252,Toronto,,Ontario,Canada,CA-ON,0.0135,3,2019-02-02,5.0
dpz9hq8,43.80524,-79.26636,43.80661,-79.26498,43.80564,-79.26541,Toronto,,Ontario,Canada,CA-ON,0.0182,3,2019-02-02,5.0
dpz2s7x,43.70087,-79.60831,43.70224,-79.60693,43.70134,-79.60795,Toronto,,Ontario,Canada,CA-ON,0.0246,3,2019-02-02,5.0
dpz87zf,43.68027,-79.28558,43.68164,-79.28421,43.68077,-79.28492,Toronto,,Ontario,Canada,CA-ON,0.0084,3,2019-02-02,5.0
dpz8gu5,43.74756,-79.28421,43.74893,-79.28284,43.7478,-79.28376,Toronto,,Ontario,Canada,CA-ON,0.0198,3,2019-02-02,5.0
