"","Geohash","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther","Count.Date","SeverityScore","IncidentsTotal","sum_acc_count","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume"
"114","dpz81pg",1.0604,0.0064,13197,0.0364,0.1606,0.2327,0.0728,0.1479,0.3496,NA,NA,NA,NA,NA,NA
"115","dpz81pk",0.4228,0.125,16,0,0.4375,0.1875,0.0625,0.3125,0,NA,NA,NA,NA,NA,NA
"116","dpz81pm",0.3889,0.0345,29,0,0.3448,0.2069,0.1379,0,0.3104,NA,NA,NA,NA,NA,NA
"117","dpz81pn",0.6055,0.1463,123,0.0569,0.3089,0.1545,0.1057,0.0732,0.3008,NA,NA,NA,NA,NA,NA
"118","dpz81pp",0.5007,0.127,189,0.0476,0.4233,0.164,0.0847,0.0529,0.2275,NA,NA,NA,NA,NA,NA
"119","dpz81pq",0.4737,0.0641,312,0.039,0.3377,0.2273,0.0519,0.0292,0.3149,NA,NA,NA,NA,NA,NA
"120","dpz81pr",1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974,NA,NA,NA,NA,NA,NA
"121","dpz81ps",0.6099,0.0826,109,0.0183,0.2752,0.1284,0.1009,0.2752,0.202,2011-05-26,NA,NA,2,20230,132
"122","dpz81pt",0.5336,0.063,11742,0.039,0.1765,0.2276,0.084,0.1154,0.3575,2011-05-26,NA,NA,4,21335,717
"123","dpz81pu",0.6275,0.1543,162,0.0437,0.3375,0.1313,0.0375,0.0313,0.4187,NA,NA,NA,NA,NA,NA
"124","dpz81pv",0.3961,0.1569,153,0.02,0.2333,0.1867,0.0333,0.0867,0.44,NA,NA,NA,4,NA,NA
"125","dpz81pw",1.3696,0.0133,75,0.0133,0.4933,0.24,0.0267,0.0267,0.2,NA,0.0407,5,NA,NA,NA
"126","dpz81px",0.5971,0.3291,3959,0.0239,0.1868,0.1259,0.0335,0.1048,0.5251,2014-04-22,0.029,4,NA,7829,1701
"127","dpz81py",0.7777,0.0924,2499,0.0194,0.1717,0.1142,0.0454,0.0867,0.5626,2013-05-27,NA,NA,17,26327,2277
"128","dpz81pz",1.0207,0.0357,56,0.0182,0.1273,0.1636,0.0182,0.2545,0.4182,NA,0.0286,5,NA,NA,NA
"129","dpz81qb",1.7805,0.0431,116,0.0517,0.2155,0.2155,0.0431,0.3793,0.0949,NA,NA,NA,NA,NA,NA
"130","dpz81qc",0.4692,0.1762,437,0.0137,0.1533,0.2494,0.0503,0.389,0.1443,NA,NA,NA,NA,NA,NA
